Gene	W19C	W20C	W21C	W22C	W23C	W24C	W25C	W26C	W28C	W31C	W32C	W34C	W35C	W36C	W37C	W38C	W39C	W40C	W41C	W19F	W20F	W21F	W22F	W23F	W24F	W25F	W26F	W28F	W31F	W32F	W34F	W35F	W36F	W37F	W38F	W39F	W40F	W41F
MA_203675g0010	0.774819778	-0.684129775	2.662096468	2.162957096	-0.684129775	-0.684129775	0.884902127	-0.684129775	-0.684129775	-0.684129775	-0.684129775	0.725824169	-0.684129775	1.715307813	-0.684129775	-0.684129775	-0.684129775	-0.684129775	-0.684129775	-0.684129775	0.528094376	-0.684129775	-0.684129775	1.007049132	-0.684129775	-0.684129775	0.771547995	-0.684129775	0.75196568	0.442866537	-0.684129775	-0.684129775	0.715751808	-0.684129775	2.195410426	1.0805212	-0.684129775	-0.684129775
MA_2249g0010	-0.121170422	-0.704760302	-0.994405554	-0.005149422	-0.424066506	0.626517133	-0.994405554	-0.994405554	-0.994405554	-0.774189335	0.642984782	-0.7428172	-0.871317497	-0.816842173	-0.592166149	-0.994405554	-0.746658236	-0.87957556	0.261830471	0.995883222	-0.05331217	1.646791267	0.601141825	2.273772452	1.853128926	-0.107542162	-0.994405554	-0.561256294	1.270466678	-0.794337738	-0.323782515	1.392252409	-0.020337466	2.778143937	0.358768452	-0.273699627	0.160930775	-0.083198233
MA_275250g0010	-0.423250098	-1.179652478	-1.179652478	1.425920547	-0.652244398	-1.179652478	-1.179652478	0.929677354	1.079947433	-0.739610268	0.023917398	0.349420519	-0.575542005	-0.313443363	-0.602970598	-1.179652478	-1.179652478	-0.586367529	-1.179652478	1.298719365	0.235964105	0.907702834	0.423480009	1.570687743	0.484916443	1.207388768	2.515547157	1.092971453	1.612790186	0.080278913	0.222962859	0.097252184	-0.141333299	-0.616854721	-1.179652478	-0.626714138	-1.179652478	0.335657451
MA_317333g0010	-0.568270945	-0.568270945	0.092707442	-0.027967485	-0.568270945	0.242718641	0.138073197	-0.568270945	2.519472487	4.229231054	0.885837411	-0.568270945	-0.568270945	-0.568270945	0.180069998	-0.568270945	-0.568270945	-0.568270945	-0.568270945	-0.568270945	-0.568270945	-0.568270945	0.027400738	-0.568270945	0.719402816	0.186406308	0.211555568	1.430621831	1.443885331	0.148917707	-0.568270945	0.073627749	-0.568270945	-0.568270945	-0.568270945	-0.568270945	-0.568270945	-0.568270945
MA_320782g0010	-0.562433129	-0.562433129	-0.562433129	1.124281445	0.866188176	0.677660231	-0.562433129	-0.562433129	-0.562433129	2.810445333	-0.562433129	-0.562433129	0.5910266	2.095426773	-0.562433129	-0.562433129	-0.562433129	-0.562433129	-0.562433129	-0.562433129	-0.562433129	-0.562433129	0.633071752	-0.562433129	0.495461596	-0.562433129	2.815832504	1.679277051	1.397023018	-0.562433129	-0.562433129	-0.562433129	-0.562433129	-0.562433129	-0.562433129	-0.562433129	-0.562433129	-0.562433129
MA_322191g0010	-0.146149582	0.809968086	-0.087828678	0.821548787	0.281627846	0.530469615	0.625840757	0.536024739	1.789781414	0.778106855	0.214902554	-0.606689054	0.788800187	-1.235534589	0.02854922	-0.61445146	-1.391265825	-1.79448342	-1.058927553	0.786183941	0.317107884	-0.075792552	1.834297704	-0.461507397	1.135592619	0.922719404	2.007417098	0.505796993	0.378468516	0.412264277	0.308634203	-0.867211875	-0.878976428	-1.493458865	-1.2123835	-1.520276596	-0.968610136	-1.400555188
MA_34530g0010	-1.026864846	-1.026864846	-0.470131825	-0.137483626	-0.530093131	-1.026864846	-0.373987428	-0.726061932	-0.44593357	0.101388844	-0.721942371	0.093225336	-0.148303381	-0.081744207	0.470210266	0.782478365	0.515809406	2.154572075	2.124205439	-1.026864846	-0.676442668	-0.681076258	-0.511408784	0.536326514	-0.380805404	-1.026864846	-1.026864846	-1.026864846	-1.026864846	-0.464212451	-0.121049299	0.329594077	0.342220587	1.119975272	0.76367567	1.508362418	0.741903798	3.10164703
MA_36895g0010	-0.951512884	0.932260065	2.58406995	-1.038518794	-0.650883456	-1.477728368	1.133747302	-0.913870449	-0.906129783	-0.992360804	0.064560005	-0.474332452	0.034139842	0.276234299	-0.888677502	-1.477728368	-0.446094678	-0.264341122	0.030414617	0.449136546	1.555290039	0.861974442	-0.459373278	2.355399264	-0.912837817	0.475570013	-0.695358494	-0.229344426	-0.96269461	-0.005782228	-0.38016518	-0.524005156	0.150994872	-0.329167981	1.297811109	1.700174193	0.669196883	0.40993439
MA_405662g0010	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	6.002192582	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421
MA_420390g0010	6.002192582	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421
